City,Latitude,Longitude,Capital
Mumbai,18.987807,72.836447,Maharashtra
Delhi,28.651952,77.231495,Delhi
Kolkata,22.562627,88.363044,West Bengal
Chennai,13.084622,80.248357,Tamil Nadu 
Bengaluru,12.977063,77.587106,Karnataka
Hyderabad,17.384052,78.456355,Andhra Pradesh
Ahmadabad,23.025793,72.587265,Gujarat
Haora,22.576882,88.318566,West Bengal
Pune,18.513271,73.849852,Maharashtra
Surat,21.195944,72.830232,Gujarat
Mardanpur,26.430066,80.267176,Uttar Pradesh
Rampura,26.884682,75.789336,Rajasthan
Lucknow,26.839281,80.923133,Uttar Pradesh
Nara,21.203096,79.089284,Maharashtra
Patna,25.615379,85.101027,Bihar
Indore,22.717736,75.85859,Madhya Pradesh
Vadodara,22.299405,73.208119,Gujarat
Bhopal,23.254688,77.402892,Madhya Pradesh
Coimbatore,11.005547,76.966122,Tamil Nadu 
Ludhiana,30.912042,75.853789,Punjab
Āgra,27.187935,78.003944,Uttar Pradesh
Kalyan,19.243703,73.135537,Maharashtra
Vishakhapatnam,17.704052,83.297663,Andhra Pradesh
Kochi,9.947743,76.253802,Kerala
Nasik,19.999963,73.776887,Maharashtra
Meerut,28.980018,77.706356,Uttar Pradesh
Faridabad,28.411236,77.313162,Haryana
Varanasi,25.31774,83.005811,Uttar Pradesh
Ghaziabad,28.665353,77.439148,Uttar Pradesh
Āsansol,23.683333,86.983333,West Bengal
Jamshedpur,22.802776,86.185448,Jharkhand
Madurai,9.917347,78.119622,Tamil Nadu 
Jabalpur,23.174495,79.935903,Madhya Pradesh
Rajkot,22.291606,70.793217,Gujarat
Dhanbad,23.801988,86.443244,Jharkhand
Amritsar,31.622337,74.875335,Punjab
Warangal,17.978423,79.600209,Andhra Pradesh
Allahabad,25.44478,81.843217,Uttar Pradesh
Srinagar,34.085652,74.805553,Jammu and Kashmir
Aurangabad,19.880943,75.346739,Maharashtra
Bhilai,21.209188,81.428497,Chhattisgarh
Solapur,17.671523,75.910437,Maharashtra
Ranchi,23.347768,85.338564,Jharkhand
Jodhpur,26.26841,73.005943,Rajasthan
Guwahati,26.176076,91.762932,Assam
Chandigarh,30.736292,76.788398,Chandigarh
Gwalior,26.229825,78.173369,Madhya Pradesh
Thiruvananthapuram,8.485498,76.949238,Kerala
Tiruchchirappalli,10.815499,78.696513,Tamil Nadu 
Hubli,15.349955,75.138619,Karnataka
Mysore,12.292664,76.638543,Karnataka
Raipur,21.233333,81.633333,Chhattisgarh
Salem,11.651165,78.158672,Tamil Nadu 
Bhubaneshwar,20.272411,85.833853,Odisha
Kota,25.182544,75.839065,Rajasthan
Jhansi,25.458872,78.579943,Uttar Pradesh
Bareilly,28.347023,79.421934,Uttar Pradesh
Aligarh,27.881453,78.07464,Uttar Pradesh
Bhiwandi,19.300229,73.058813,Maharashtra
Jammu,32.735686,74.869112,Jammu and Kashmir
Moradabad,28.838931,78.776838,Uttar Pradesh
Mangalore,12.865371,74.842432,Karnataka
Kolhapur,16.695633,74.231669,Maharashtra
Amravati,20.933272,77.75152,Maharashtra
Dehra Dun,30.324427,78.033922,Uttarakhand
Malegaon Camp,20.569974,74.515415,Maharashtra
Nellore,14.449918,79.986967,Andhra Pradesh
Gopalpur,26.735389,83.38064,Uttar Pradesh
Shimoga,13.932424,75.572555,Karnataka
